"GEOID","NAME","variable","estimate","moe","Year"
"26","Michigan","B01003_001",9897264,NA,2012
"27","Minnesota","B01003_001",5313081,NA,2012
"28","Mississippi","B01003_001",2967620,NA,2012
"29","Missouri","B01003_001",5982413,NA,2012
"30","Montana","B01003_001",990785,NA,2012
"31","Nebraska","B01003_001",1827306,NA,2012
"32","Nevada","B01003_001",2704204,NA,2012
"33","New Hampshire","B01003_001",1317474,NA,2012
"34","New Jersey","B01003_001",8793888,NA,2012
"35","New Mexico","B01003_001",2055287,NA,2012
"36","New York","B01003_001",19398125,NA,2012
"37","North Carolina","B01003_001",9544249,NA,2012
"38","North Dakota","B01003_001",676253,NA,2012
"39","Ohio","B01003_001",11533561,NA,2012
"40","Oklahoma","B01003_001",3749005,NA,2012
"41","Oregon","B01003_001",3836628,NA,2012
"42","Pennsylvania","B01003_001",12699589,NA,2012
"44","Rhode Island","B01003_001",1052471,NA,2012
"45","South Carolina","B01003_001",4630351,NA,2012
"46","South Dakota","B01003_001",815871,NA,2012
"47","Tennessee","B01003_001",6353226,NA,2012
"48","Texas","B01003_001",25208897,NA,2012
"49","Utah","B01003_001",2766233,NA,2012
"50","Vermont","B01003_001",625498,NA,2012
"51","Virginia","B01003_001",8014955,NA,2012
"53","Washington","B01003_001",6738714,NA,2012
"54","West Virginia","B01003_001",1850481,NA,2012
"55","Wisconsin","B01003_001",5687219,NA,2012
"56","Wyoming","B01003_001",562803,NA,2012
"72","Puerto Rico","B01003_001",3716727,NA,2012
"01","Alabama","B01003_001",4799277,NA,2013
"02","Alaska","B01003_001",720316,NA,2013
"04","Arizona","B01003_001",6479703,NA,2013
"05","Arkansas","B01003_001",2933369,NA,2013
"06","California","B01003_001",37659181,NA,2013
"08","Colorado","B01003_001",5119329,NA,2013
"09","Connecticut","B01003_001",3583561,NA,2013
"10","Delaware","B01003_001",908446,NA,2013
"11","District of Columbia","B01003_001",619371,NA,2013
"12","Florida","B01003_001",19091156,NA,2013
"13","Georgia","B01003_001",9810417,NA,2013
"15","Hawaii","B01003_001",1376298,NA,2013
"16","Idaho","B01003_001",1583364,NA,2013
"17","Illinois","B01003_001",12848554,NA,2013
"18","Indiana","B01003_001",6514861,NA,2013
"19","Iowa","B01003_001",3062553,NA,2013
"20","Kansas","B01003_001",2868107,NA,2013
"21","Kentucky","B01003_001",4361333,NA,2013
"22","Louisiana","B01003_001",4567968,NA,2013
"23","Maine","B01003_001",1328320,NA,2013
"24","Maryland","B01003_001",5834299,NA,2013
"25","Massachusetts","B01003_001",6605058,NA,2013
